dateTime,temperature,pressure,humidity,altitude
2020-03-09 00:04:18.432096,24.05,100113.00,51.00,101.38
2020-03-09 00:04:23.472963,24.05,100109.00,51.00,101.72
2020-03-09 00:04:28.497992,24.05,100107.00,51.00,101.89
2020-03-09 00:04:33.538897,24.05,100112.00,51.00,101.47
2020-03-09 00:04:38.579742,24.06,100113.00,51.00,101.38
2020-03-09 00:04:43.604731,24.06,100117.00,51.00,101.05
2020-03-09 00:04:48.645601,24.06,100114.00,51.00,101.30
2020-03-09 00:04:53.670472,24.06,100115.00,51.00,101.21
2020-03-09 00:04:58.711359,24.06,100121.00,51.00,100.71
2020-03-09 00:05:03.736449,24.05,100120.00,51.00,100.79
2020-03-09 00:05:08.777386,24.05,100103.00,51.00,102.22
2020-03-09 00:14:01.834838,24.11,100081.00,52.00,104.07
2020-03-09 00:14:06.875680,24.11,100084.00,52.00,103.82
2020-03-09 00:14:11.900624,24.10,100080.00,52.00,104.16
2020-03-09 00:14:16.941393,24.11,100081.00,52.00,104.07
2020-03-09 00:14:21.966437,24.11,100082.00,52.00,103.99
2020-03-09 00:14:27.007054,24.12,100086.00,52.00,103.65
2020-03-09 00:14:32.031967,24.12,100085.00,52.00,103.74
2020-03-09 00:14:37.072764,24.12,100081.00,52.00,104.07
2020-03-09 00:14:42.097695,24.12,100082.00,52.00,103.99
2020-03-09 00:14:47.138278,24.12,100082.00,52.00,103.99
2020-03-09 00:14:52.179032,24.13,100078.00,52.00,104.32
2020-03-09 00:14:57.203988,24.13,100080.00,52.00,104.16
2020-03-09 00:15:02.244736,24.13,100077.00,52.00,104.41
2020-03-09 00:15:07.269899,24.13,100074.00,52.00,104.66
2020-03-09 00:15:12.310473,24.13,100078.00,52.00,104.32
2020-03-09 00:15:17.335475,24.13,100076.00,52.00,104.49
2020-03-09 00:15:22.376216,24.13,100077.00,52.00,104.41
2020-03-09 00:15:27.401179,24.14,100078.00,52.00,104.32
2020-03-09 00:15:32.441845,24.13,100078.00,52.00,104.32
2020-03-09 00:15:37.466902,24.14,100080.00,52.00,104.16
2020-03-09 00:15:42.507741,24.14,100081.00,52.00,104.07
2020-03-09 00:15:47.532489,24.14,100076.00,52.00,104.49
2020-03-09 00:15:52.573250,24.13,100075.00,52.00,104.58
2020-03-09 00:15:57.598366,24.13,100077.00,52.00,104.41
2020-03-09 00:16:02.639011,24.13,100077.00,52.00,104.41
2020-03-09 00:16:07.663828,24.14,100077.00,52.00,104.41
2020-03-09 00:16:12.704751,24.13,100077.00,52.00,104.41
2020-03-09 00:16:17.729562,24.14,100073.00,52.00,104.75
2020-03-09 00:16:22.770372,24.13,100075.00,52.00,104.58
2020-03-09 00:16:27.795190,24.14,100077.00,52.00,104.41
2020-03-09 00:16:32.835984,24.14,100084.00,52.00,103.82
2020-03-09 00:16:37.860906,24.14,100081.00,52.00,104.07
2020-03-09 00:16:42.901740,24.14,100081.00,52.00,104.07
2020-03-09 00:16:47.926641,24.14,100076.00,52.00,104.49
2020-03-09 00:16:52.967444,24.14,100076.00,52.00,104.49
2020-03-09 00:16:57.992398,24.14,100074.00,52.00,104.66
2020-03-09 00:17:03.033096,24.14,100077.00,52.00,104.41
2020-03-09 00:17:08.058003,24.15,100071.00,52.00,104.91
2020-03-09 00:17:13.098726,24.14,100076.00,52.00,104.49
2020-03-09 00:17:18.123729,24.14,100071.00,52.00,104.91
2020-03-09 00:17:23.164547,24.15,100070.00,52.00,105.00
2020-03-09 00:17:28.189405,24.14,100077.00,52.00,104.41
2020-03-09 00:17:33.230255,24.15,100076.00,52.00,104.49
2020-03-09 00:17:38.255067,24.15,100072.00,52.00,104.83
2020-03-09 00:17:43.295882,24.15,100079.00,52.00,104.24
2020-03-09 00:17:48.320690,24.15,100074.00,52.00,104.66
2020-03-09 00:17:53.345651,24.16,100073.00,52.00,104.75
2020-03-09 00:17:58.386390,24.15,100071.00,52.00,104.91
2020-03-09 00:18:03.411294,24.15,100073.00,52.00,104.75
2020-03-09 00:18:08.452043,24.15,100074.00,52.00,104.66
2020-03-09 00:18:13.476684,24.16,100082.00,52.00,103.99
2020-03-09 00:18:18.517507,24.15,100076.00,52.00,104.49
2020-03-09 00:18:23.542460,24.15,100074.00,52.00,104.66
2020-03-09 00:18:28.583234,24.15,100075.00,52.00,104.58
2020-03-09 00:18:33.608153,24.15,100075.00,52.00,104.58
2020-03-09 00:18:38.648901,24.15,100074.00,52.00,104.66
2020-03-09 00:18:43.689499,24.16,100081.00,52.00,104.07
2020-03-09 00:18:48.714327,24.16,100083.00,52.00,103.90
2020-03-09 00:18:53.755652,24.17,100088.00,52.00,103.48
2020-03-09 00:18:58.779988,24.16,100079.00,52.00,104.24
2020-03-09 00:19:03.820722,24.16,100073.00,52.00,104.75
2020-03-09 00:19:08.845584,24.16,100072.00,52.00,104.83
2020-03-09 00:19:13.886391,24.16,100072.00,52.00,104.83
2020-03-09 00:19:18.911873,24.17,100073.00,52.00,104.75
2020-03-09 00:19:23.952166,24.17,100071.00,52.00,104.91
2020-03-09 00:19:28.977171,24.16,100068.00,52.00,105.17
2020-03-09 00:19:34.017923,24.17,100074.00,52.00,104.66
2020-03-09 00:19:39.042863,24.16,100070.00,52.00,105.00
2020-03-09 00:19:44.084161,24.17,100066.00,52.00,105.33
2020-03-09 00:19:49.108747,24.18,100071.00,52.00,104.91
2020-03-09 00:19:54.149683,24.17,100071.00,52.00,104.91
2020-03-09 00:19:59.174142,24.17,100072.00,52.00,104.83
2020-03-09 00:20:04.216860,24.17,100071.00,52.00,104.91
2020-03-09 00:20:09.240224,24.17,100076.00,52.00,104.49
2020-03-09 00:20:14.280535,24.17,100075.00,52.00,104.58
